#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
How should your approach differ at night vs day?	The approach should be conducted the same regardless
How does true airspeed (TAS) change in relation to indicated airspeed (IAS) as altitude increases	TAS will increase compared to IAS due to reduced pressure with altitude<br>(for every 1000ft, TAS increases approx. 2% over IAS)
What is&nbsp;indicated airspeed of an aircraft corrected for position and instrument error. Will be equal to TAS in standard atmosphere at sea level.&nbsp;	Calibrated airspeed. Will be unique to every individual airplane and should be noted in the aircrafts POH.&nbsp;
Define true airspeed	Speed at which the airplane is actually moving through the air.&nbsp;
Define indicated airspeed&nbsp;	Indicated airspeed is the speed which is read directly from the airspeed indicator.&nbsp;
AHRS. Describe	Attitude and Heading Reference System. Used to supply attitude and heading information to digital instrumentation. Uses sensors to measure angular rate, acceleration and earths magnetic field.&nbsp;
Featureless terrain illusion	This illusion can affect a pilot who approaches a well lit runway surrounded by a dark, featureless landscape. Pilots may think they are higher than they really are. A pilot suffering from this illusion will fly a lower approach.&nbsp;
What items should a pilot have on board for a night flight? (general items, non 91.205)	Aeronautical charts<br>Head lamp (red)<br>Spare batteries for head lamp&nbsp;
What does the outbound destination sign identify?	Direction to takeoff runways
Hypoxia	Is a state of oxygen deficiency in the body to impair functions of the brain and other organs
<div>With respect to the certification, privileges, and limitations of airmen, what do category, class, and type mean?&nbsp;</div>	<div>(61.5)&nbsp;</div><div>- Category: Airplane, Rotorcraft, Glider, Lighter-Than-Air etc.&nbsp;</div><div>- Class: Single Engine Land/Sea, Multi Engine Land/Sea&nbsp;</div><div>- Type: specific to aircraft – only required for aircraft with a max gross weight equal or greater than 12,500lbs, turbojet, or any aircraft specified by the FAA to require one&nbsp;(61.31)&nbsp;</div>
<div>If a pilot changes his permanent mailing address, how long can the pilot continue to exercise the privileges of their pilot certificate without notifying the FAA?&nbsp;</div>	<div>(61.60)&nbsp;</div><div>30 days&nbsp;</div>
Engine failure immediately after takeoff (Archer III)	"Airspeed…………………………..76 KIAS
<br>Mixture ………………..……IDLE CUTOFF
<br>Magnetos Switch …………..………….OFF
<br>Flaps..AS REQUIRED (Full Recommended)
<br>Emergency Battery...………….……….OFF
<br>Battery and Alternator.........................OFF
<br>Cabin Door………………..……. UNLATCH
<br>Land...………………...STRAIGHT AHEAD"
Engine fire during start (Archer III)	"Starter…………..CONTINUE CRANKING
<br>Mixture.……………..……...IDLE CUTOFF
<br>Throttle………………………………OPEN
<br>Fuel Pump……………………………..OFF <br>Fuel Selector………………………….OFF"
Engine fire in flight (Archer III)	"Fuel Selector………………………….OFF
Throttle…………………………...CLOSED
<br>Mixture ……………..……...IDLE CUTOFF
<br>Fuel Pump……………………………..OFF
Heater/Defroster……………………...OFF
<br>**IF FIRE IS NOT EXTINGUISHED,
INCREASE AIRSPEED WITHIN LIMITS
THAT WILL PROVIDE INCOMBUSTIBLE
MIXTURE**"
Electrical fire in flight procedure (Archer III)<br>What telltale sign points to an electrical fire?	"Smoke in the cabin is usually the telltale sign of an electrical fire.<br><br>Emergency Battery……….VERIFY ARM
<br>Battery Master………………………..OFF
<br>Alternator Switch…………………….OFF
<br>Vents…………………………………OPEN
Heater/Defroster……………………..OFF
Fire…………………………..EXTINGUISH
<br>Emergency Descent………..IF NEEDED
<br>Land as soon as possible"
Wing fire in flight (Archer III)	"Exterior Lights…..………………..ALL OFF
<br>Pitot Heat Switch……………………....OFF
<br>Perform Sideslip to keep flames away
from fuel tank and cabin"
Explain the instruments which are run off the vacuum system. What drives this system?	The attitude indicator and the directional gyro. The vacuum pump is engine driven.&nbsp;
The archer is a ___ volt system&nbsp;	28
The battery is ___ volts and used for starting and backing up alternator output.&nbsp;	24
Electrical power is supplied by a ___ amp alternator	70
What are the standard electrical accessories included with the Archer?	Starter, fuel pump (elec), engine primer, stall warning horn, ammeter, and the annunciator panel
With the engine running, the digital ammeter displays what?&nbsp;	The load placed on the alternator&nbsp;
With all electrical equipment off (except the battery master switch) the ammeter will display what?	The amount of charging current demanded by the battery&nbsp;
Explain the difference between a loadmeter and an ammeter.	A loadmeter instrument displays a 0 to 60 scale which indicates the load placed on the generating capacity of the electrical system by the electrical accessories and battery. An ammeter is used to show the electrical generating performance of the alternator/generator system of the aircraft.&nbsp;
The aircraft is powered off, with only the master switch turned on. What should the loadmeter display?	With all electrial components turned off, the loadmeter reflects only the amount of charging current demanded by the battery.
If an ammeter shows a positive number, what does that indicate?&nbsp;	It shows the charging rate of the battery
A full scale positive deflection of the ammeter shows what?	Probable malfunction of the voltage regulator
A full scale negative deflection of the ammeter shows what?	Probable failure of the alternator.&nbsp;
In normal operations, an ammeter should indicate what on its display?	A zero indication&nbsp;
Your ammeter shows a negative value while in flight, what does this mean?	Your battery is discharging!
What type of vacuum pump is on the airplane?	The airplane has an engine driven, dry type vacuum pump. This dry type pump eliminates the need for an air/oil seperator&nbsp;
You notice a lower than usual vacuum indication, what could this mean?	may indicate a dirty filter, dirty screens, possibly a sticking vacuum regulator or leak in system
Zero vacuum pressure could indicate what?	sheared pump drive, defective pump, collapsed line or defective gauge.&nbsp;
Normal vacuum suction should be what in inches of mercury (inHg)?	4.8 to 5.2 inHg
Higher than normal vacuum suction could do what to your vacuum instruments? How about lower than normal suction?	Higher suction could cause damage to vacuum instruments. Lower than normal suction would make vacuum instruments unreliable.&nbsp;
The turn indicator is what kind of powered instrument? (Archer III)	Electrical
What instruments rely on the pitot tube?	Airspeed indicator
What are the static instruments?	Airspeed indicator, vertical speed indicator, altimeter&nbsp;
Describe the alternate static source feature of the aircraft? What is it? Where is it located? What are the considerations for its use?	Alternate static source is a way of bypassing the exterior static source and using one which is located inside the aircraft. The cabin window and cabin vents must be closed and the cabin heater and defroster must be on! The altimeter will show a slightly higher altitude, but this error is less than 50ft unless otherwise placarded. ASI will indicate an airspeed greater than actual.&nbsp;
Where are the pitot/static ports on the aircraft? (Archer III)	They are all located on the pitot head (or pitot static mast) under the left wing. This head contains both the inlet for ram air at the front and two holes on the bottom and side for statis pressure reading.&nbsp;
Describe the comm antenna(s) on the aircraft and where they are.&nbsp;	Comm antennas are usually located on the top (comm 2) and/or bottom (comm 1) of the fuselage. They are usually long and skinny and, in the case of a bottom mounted antenna, will be bent to ensure adequate clearance from objects on the ground.&nbsp;
Describe the VOR antennas on the aircraft.&nbsp;	They are located on the vertical stabalizer in a horizontal V formation and provide VOR tracking.&nbsp;
Describe the transponder antenna.&nbsp;	Types vary widly but can be a small, several inch long antenna rod sticking out from below the aircraft or a shark fin type antenna.&nbsp;
Describe the shape and location of GPS receivers.	Almost always low profile, flush mount devices located at the top of the fuselage allowing for the best possible exposure to the sky.&nbsp;
In the case of the Archer III, what kind of alternate vacuum pump is provided and where is the switch located?	"An electrical aux vacuum pump is provided in case the engine driven pump fails or becomes unreliable. The aux vac button is located on the left side of the panel and shows ""VAC OFF"" and ""AUX ON"""
What is the purpose of having seperate alternator and battery switches?	In some cases, you may wany to exclude power being provided from an alternator with a faulty voltage regulator to prevent damage to avionics. Conversely, with a fauly battery experiencing thermal runaway, you may want to cut it off from the electrical system.
Explain the Archer II and Archer III electrical volts and amps respectively. What voltage is the battery?	Archer II is a 14 volt, 60 amp system. The Archer III is a 28 volt, 70 amp system. The battery is 24 volt.&nbsp;
How is heat generated for the cabin?	Using a heater muff attached to the exhaust.&nbsp;
Max capacity of the baggage area is ___ (Archer)	200 lbs
Usable fuel capacity at the bottom of the tabs is (Archer)	17 gallons per side
The electric fuel pump should be on during (Archer):	Takeoff, landing and while switching tanks (POH)
The three landing gear struts are of what type?	Air-oil type struts
The toe brakes and hand brake have seperate what? They share what? (Archer)	Seperate brake cylinders. They share a common reservoir.&nbsp;
Steep turn limitations 	Manufacturer recommended airspeed, or if one is not available, an airspeed not to exceed Va.<br>Roll into coordinated 360° turn at approximately 45° bank. <br>Maintain entry altitude +/- 100ft<br>Airspeed +/- 10kts<br>Bank +/- 5°<br>Roll out on entry heading +/- 10°
Traffic pattern altitude and airspeed limitation cited in the ACS.	+/- 100ft, +/- 10kts
Takeoff airspeed limitations and climb out speed	"<div>
<div><div>+10/-5 knots, manufacturer’s recommended speed or VY</div>
</div>
</div>"
Soft field takeoff key items to remember	Taxi into takeoff position without stopping<br>Apply takeoff power smoothly<br>Full aft elevator to keep as much weight on the main landing gear as possible<br>Lift off at the lowest possible airspeed and remaind in ground effect to Vx or Vy (as appropriate)<br>+10/-5 climb out airspeed<br>Configure the airplane after positive rate of climb<br>
Soft field approach and landing procedure&nbsp;	"<div>
<div>
<div>
<div>Maintain manufacturer’s published approach airspeed or in its absence not more than 1.3
VSO, +10/-5 knots with gust factor applied.&nbsp;</div><div>On touchdown, keep the nose wheel off for as long as possible&nbsp;</div>
</div>
</div></div>"
Short field takeoff and maximum performance climb per ACS	Taxi into takeoff position utilizing maximum runway length<br>Apply maximum engine power and verify indications before beginning roll<br>Rotate and lift off at recommended airspeed and accelerate to Vx, +10/-5kts<br>Maintain Vx until 50ft or clearing the obstacle&nbsp;<br>Pitch for Vy and accelerate to Vy +10/-5
Short field approach and landing procedure ACS	"<div>
<div>
<div>
<div>Maintain manufacturer’s published approach airspeed or in its absence not more than 1.3
VSO, +10/-5 knots with gust factor applied</div><div>&nbsp;Touchdown within 200ft of the specified aim point&nbsp;</div>
</div>
</div></div>"
Steep turn procedure per ACS	CLEARING TURNS<br>Maintain airspeed not to exceed Va (2200rpm is good in the Archer)<br>Roll into a coordinated 360deg at approxamately 45deg bank<br>Perform the task in the opposite direction<br>Maintain the entry altitude +/-100ft, +/-10kts, +/-5deg bank, roll out onto the entry heading +/-10deg&nbsp;<br>
What is the purpose of ground reference maneuvers?	to train pilots to accurately place the airplane in relationship to specific references and maintain a desired ground track
Ground reference maneuvers key items per ACS	CLEARING TURNS<br>All 3 ground reference maneuvers (Rec course, S-Turns, Turns around a point) should be executed between 600-1000ft AGL<br>Wind drift correction is a key aspect of the maneuver&nbsp;<br>Maintain altitude +/- 100ft, +/-10kts
A pilot must furnish their certificate, medical and photo ID if prompted by:	 <div style='text-align: left;'> <br>61.3<br>1. The administrator (FAA)<br>2. Any federal, state or local law enforcement officer <br>3. An authorized rep of the NTSB<br>4. An authorized rep of the TSA<br></div>
With respect to the certification, privileges, and limitations of airmen, what do <br>category, class, and type mean? (61.5)	Category : Airplane, Rotorcraft, Glider, Lighter-Than-Air etc.<br>Class: Single Engine Land/Sea, Multi Engine Land/Sea<br>Type: specific to aircraft
If a pilot changes his permanent mailing address, how long can the pilot continue <br>to exercise the privileges of their pilot certificate without notifying the FAA? (61.60)	30 days
Does an Airworthiness Certificate ever expire?	Not as long manufacturer's original design is adhered to
Who is responsible for ensuring an aircraft is maintained in an airworthy <br>condition? (91.403)	The owner/operator
What are the required inspections? (91.409)	AVIATES<br>Annual – every 12 calendar months<br>VOR – 30 days for IFR<br>100 hour if airplane is for hire<br>Altimeter/Pitot Static – 24 calendar months<br>Transponder – 24 calendar months<br>ELT – 12 calendar month. Battery must be replaced or recharged after 1 hour cumulative use or <br>half of battery life<br>Service bulletins and ADs complied with
What is an Airworthiness Directive? Is it mandatory? (PHAK 8-12)	FAA issued order to fix a known issue. It is mandatory. The AD will contain more information regarding whether it expires, is a one time compliance or is recurring. 
Can you over fly an annual? 100 hour? (91.409)	Annuals cannot be overflown. You can overfly a 100 hour by up to 10 hours if the aircraft is <br>enroute to a place to have the inspection completed.
Is there any way to fly an aircraft that is not legally airworthy?	Obtain special flight permit from the FSDO
Do you need to have an ELT in the airplane today? (91.207)	Not needed for training within 50 nm of home airport
Can you fly an airplane with known inoperative equipment? (91.213)	If it were not required for the flight (per the aircraft’s equipment list or the FARs), you must<br>deactivate or remove the component and placard it inoperative (deactivating could be as simple as pulling the circuit breaker out and locking it out with a zip tie)
What is a Minimum Equipment List? (PHAK 8-9)	An FAA approved list of equipment that can be inoperative
Can an aircraft owner change an MEL?	If a change is sought, a letter and a proposed MEL that is based off of the Master MEL must be <br>sent to the FAA for approval
Where can more info be learned about basic med?	AC68-1A
