#separator:tab
#html:true
What is a student pilot required to have in their possession to act as PIC?	Student pilot certificate, third class medical certificate, photo ID, CFI solo endorsement
How soon after a conviction after driving while intoxicated with alcohol or drugs shall it be reported to the FAA? What office should be notified? Provide FAR	Each person holding a certificate under Part 61 shall notify within 60 days after the motor vehicle action. Reports should be made to the FAA's Security and Hazardous Materials Safety Office&nbsp;<br>61.15
Whats the lost comm procedure at a tower controlled airfield	Observe the flow of traffic, enter the traffic pattern, watch for light gun signals, rock wings to acknowledge
What other aeromedical conditions does carbon monoxide poisoning mimic?	Hypoxia. The difference is CO poisoning does not get better if CO is removed from the beathing environment. A pilot must get on the ground as soon as possible when CO poisoning is suspected.&nbsp;
"Define:<br><img src=""proceedwithcaution4.jpg"">"	Alert area which marks an area with some hazard to aircraft&nbsp;
"Define (left airspace):&nbsp;<br><img src=""moa.jpg"">"	A MOA or Military Operations Area is a type of airspace which depicts areas of military operations on a sectional. There are two statuses to a moa, if active, aircraft can enter but should exercise extreme caution. If the airspace is not active, aircraft can enter freely.&nbsp;
"Define (RESTRICTED airspace):<br><img src=""moa.jpg"">"	Restricted airspace is airspace where flight operations are not always permitted. If hot, no entry into the airspace is permitted. If cold, aircraft can enter with ATC permission.&nbsp;
"Define:<br><img src=""prohibited.jpg"">"	A prohibited area does not allow entry.&nbsp;
When must position lights be used?	sunset to sunrise&nbsp;
In order to be night current to carry passengers, what must a pilot do?	The pilot must accomplish 3 takeoffs and landings to a full stop within the time period of one hour after sunset to one hour before sunrise.&nbsp;
What is the FAR 1.1 definition of night?	The end of evening civil twilight to the beginning of morning civil twilight.&nbsp;
When can you log night time and when must your aircraft be night equipped?	The end of evening civil twilight to the beginning of morning civil twilight.
Basic med allows a pilot to use a US drivers license instead of a medical certificate given the following requirements:	<ol><li>Comply with the general BasicMed requirements (possess a U.S. driver's license, have held a medical after July 14, 2006, not revoked).</li><li>Get a physical exam with a state-licensed physician, using the Comprehensive Medical Examination Checklist, CMEC</li><li>Complete a BasicMed medical education course</li></ol>
BasicMed limitations&nbsp;	Aircraft not certificated for more than 6 occupants<br>Aircraft not more than 6,000lbs<br>No flying above 18,000ft, no more than 250kts, within the USA<br>No operating for compensation or hire<br>Carry no more than 5 passengers
The radius of the procedural outer area surrounding class C airspace&nbsp;	20nm&nbsp;
Class C physical dimensions&nbsp;	surface to 4,000ft MSL out to 5nm around the Class C primary airport&nbsp;<br>1200ft up to 4,000ft MSL from 5nm out to 10nm from the Class C primary
Class D physical dimensions	4nm radius extends from the surface to 2,500ft above the ground&nbsp;
Describe Hypoxic Hypoxia	- Lack of oxygen absorbed by the body due to low atmospheric oxygen concentration 
Describe Hypemic Hypoxia&nbsp;	"Remember: Emia means ""presence in blood"" (ex. Leukemia, cancer of the blood)<br>- Occurs when the blood is not able to carry a sufficient amount of oxygen to the body's cells<br><br><br><br>- Caused by anemia, disease, blood loss, deformed blood cells, or carbon monoxide (CO) poisoning and with smokers<br>- CO attaches itself to hemoglobin about 200 times more easily than oxygen<br>- After CO poisoning, it can take up to 24 hours to recover<br>- It can be a result of donating blood, resulting in a higher physiological altitude"
Describe Stagnant Hypoxia&nbsp;	- Oxygen deficiency in the body due to poor circulation of the blood<br>- Can occur from pulling excessive Gs or cold (constricting blood vessels) temperatures may reduce blood to extremities<br>- May cause hyperventilation
Nose high unusual attitude recovery procedure&nbsp;	Increase throttle to full<br>Lower nose to level attitude<br>Level the wings&nbsp;
Nose low unusual attitude recovery procedure	Reduce throttle to idle<br>Level the wings using coordinated aileron and rudder&nbsp;<br>Raise the nose gently to level attitude&nbsp;
During recovery from a nose low unusual attitude, why must you level the wings before raising the nose? 2 reasons	1. To prevent excessive G loading on the wings&nbsp;<br>2. To prevent experiencing an accelerated stall during the recovery&nbsp;
What are the altitude, heading and airspeed limitations during the basic instrument maneuvers (PPL - straight and level flight, constant speed climbs/descents, turns to headings etc.)	Maintain altitude ±200 feet, heading ±20°, and airspeed ±10 knots.
What types of cloud cover would qualify as a ceiling?	Broken and Overcast
Maximum growth rate of a thunderstorm occur during what stage?	mature stage
An anvil top indicates what stage of a thunderstorm?	Dissipating stage
Which atmospheric phenomena signals the beginning of the mature stage of a thunderstorm	precipitation beginning to fall
What does 9900 mean in the winds aloft forecast&nbsp;	Winds light and variable (less than 5kts)
What should you use if your destination has no terminal forcast?	Area forecast&nbsp;
What is the demonstrated crosswind component of the Piper Archer/Cherokee&nbsp;	17kts&nbsp;
Class C dimensions&nbsp;	5nm radius from surface to 4,000ft&nbsp;<br>10nm radius 1200ft to 4,000ft (overlying shelf)
Class C requirements&nbsp;	"- Need transponder with mode C and ADS-B out<br>- Must establish two way comms before entry<br>(do not need explicit ""cleared into"" verbiage before entry like you need with Class B, may be asked to stay out of airspace)<br>"
MEA	Minimum Enroute Altitude
Light gun: Steady green&nbsp;	Cleared to land/takeoff&nbsp;
Light gun: Flashing green	Cleared for taxi/Return for landing (must be followed by steady green to land)
Light gun: Steady red	STOP! (ground)/Give way to other aircraft and continue circling
Light gun: Flashing Red	Taxi clear of runway in use/Airport unsafe, do not land
Light gun: Flashing white	Return to starting point on airport (no airbourne use case)
Light gun: Alternating green and red	Exercise extreme caution!
Describe category as it relates to both certification or airmen and aircraft	"<ul><li>As used concerning the certification, ratings, privileges, and limitations of <span style=""color: rgb(255, 251, 0);""><u><b>airmen</b></u></span>, means a broad classification of aircraft<ul><li>Examples include: airplane; rotorcraft; glider; and lighter-than-air</li></ul></li><li>As used concerning the certification of <b><u><span style=""color: rgb(255, 251, 0);"">aircraft</span></u></b>, it means a grouping of <span style=""color: rgb(255, 255, 255);"">aircraft</span> based upon intended use or operating limitations<ul><li>Examples include: transport, normal, utility, acrobatic, limited, restricted, and provisional</li></ul></li></ul>"
Describe class as it relates to both certification or airmen and aircraft	"<ul><li>As used concerning the certification, ratings, privileges, and limitations of <span style=""color: rgb(255, 251, 0);""><u><b>airmen</b></u></span>, means a classification of aircraft within a category having similar operating characteristics<ul><li>Examples include: single engine; multiengine; land; water; gyroplane, helicopter, airship, and free balloon</li></ul></li><li>As used concerning the certification of <b><u><span style=""color: rgb(255, 251, 0);"">aircraft</span></u></b>, it means a broad grouping of aircraft having similar characteristics of propulsion, flight, or landing<ul><li>Examples include: airplane, rotorcraft, glider, balloon, landplane, and seaplane</li></ul></li></ul>"
Describe type as it relates to both certification or airmen and aircraft	"<ul><li>As used concerning the certification, ratings, privileges, and limitations of <span style=""color: rgb(255, 251, 0);""><u><b>airmen</b></u></span>, it means a specific make and basic aircraft model, including modifications that do not change its handling or flight characteristics.&nbsp;<ul><li>Examples include: 737-700, G-IV, and 1900</li></ul></li><li>As used concerning the certification of <b><u><span style=""color: rgb(255, 251, 0);"">aircraft</span></u></b>, it means those aircraft that are similar in design.&nbsp;<ul><li>Examples include: 737-700 and 737-700C; G-IV and G-IV-X; and 1900 and 1900C</li></ul></li></ul>"
AC 00 covers what information?	General info&nbsp;
AC 20 covers what information?	Aircraft
AC 60 covers what information?	Airmen
AC 70 covers what information?	Airspace
AC 90 covers what information?	Air Traffic and General Operating Rules
TRSA	A TRSA is a Terminal Radar Service Area where participating aircraft can receive radar services. Purpose is to provide seperation between all IFR and participating VFR aircraft. Participation is optional for VFR aircraft but highly encouraged. Example: Palm Springs, CA is covered by a TRSA.&nbsp;
It is requested that aircraft do not fly within x,xxxft of these designated land areas. What are these land areas called?	2,000ft of a Special Conservation Area (like a wildlife refuge)
Time between the end evening civil twilight and the beginning of morning civil twilight is considered what time and when is it used?	Night definition when logging night time&nbsp;
What is the definition of night which is used to log night flying time?	Time between the end evening civil twilight and the beginning of morning civil twilight&nbsp;
250 KIAS is the speed limit in what airspaces?	Below 10,000ft MSL, within the Class B
200kts is the speed limit within what airspace?	VFR corridor through Class B and below Class B shelf&nbsp;<br>Unless otherwise authorized or required by ATC, no person may operate an aircraft at or below 2,500 feet above the surface within 4 nautical miles of the primary airport of a Class C or Class D airspace area at an indicated airspeed of more than 200 knots&nbsp;
How are special flight permits obtained and what is their use?	FSDO or DAR (designated airworthiness representative)<br>A special flight permit may be issued for an aircraft that may not currently meet applicable airworthiness requirements, but is capable of safe flight, for the following purposes:&nbsp;<b>Flying aircraft to a point for repairs, alterations, maintenance, or storage</b>&nbsp;(for example, ferrying an aircraft from point A to point B)
How should your approach differ at night vs day?	The approach should be conducted the same regardless
How does true airspeed (TAS) change in relation to indicated airspeed (IAS) as altitude increases	TAS will increase compared to IAS due to reduced pressure with altitude<br>(for every 1000ft, TAS increases approx. 2% over IAS)
What is&nbsp;indicated airspeed of an aircraft corrected for position and instrument error. Will be equal to TAS in standard atmosphere at sea level.&nbsp;	Calibrated airspeed. Will be unique to every individual airplane and should be noted in the aircrafts POH.&nbsp;
What is a standard day? (both temps and both pressures)	15C and 59F<br>29.92 inHG (inches of mercury) and 1013 hPa (hectopascales, originally millibars)
Define true airspeed	Speed at which the airplane is actually moving through the air.&nbsp;
Define indicated airspeed&nbsp;	Indicated airspeed is the speed which is read directly from the airspeed indicator.&nbsp;
Typical dimensions of Class B	No typical dimensions. Refer to sectional&nbsp;
ELT transmission frequencies? When may an ELT be tested?	121.5 (analog, guard freq)<br>243.0 Mhz (analog)<br>406.0 Mhz (new)<br><br>First 5 minutes past the hour, 3 sweeps only.
Absolute altitude	Height above the surface&nbsp;
Indicated altitude&nbsp;	Altitude read directly from the altimiter
What sense does your brain rely on primarily when receiving conflicting information from your senses?	Vision, what you can see
What is spatial disorientation?	Spatial disorientation is a state of temporary spatial confusion that results from misleading information being sent to the brain from various sensory organs.
How might spatial disorientation occur in flight?	When visibility is limited, the brain will try to rely on other sensory inputs. The ear may not be reliable as fluid movement in the ear may not coorespond with the movement of the aircraft. This may result in the pilot *feeling* like the airplane is in a steep turn or sharp bank when in fact the airplane is straight and level.&nbsp;
Define graveyard spiral	If descending during a coordinated, constant rate turn that has ceased stimulating the inner ear, the motion sensing system can create the illusion of being in a descent with the wings level. A disoriented pilot will pull back on the controls, tightening the spiral and increasing the loss in altitude.&nbsp;
Notify the FAA of an address change within?	30 days
Required items in posession to act as PIC	License&nbsp;<br>Medical<br>Photo ID
AHRS. Describe	Attitude and Heading Reference System. Used to supply attitude and heading information to digital instrumentation. Uses sensors to measure angular rate, acceleration and earths magnetic field.&nbsp;
Name the types of fog	Radiation: Ground cools the air during cool, calm nights<br>Advection: Warm, humid air over cold surfaces like frozen lakes, rivers<br>Upslope: Warm, moist air cooled adiabatically (up a slope race by rising air)<br>Frontal: Forms in frontal zone rainfalls from warm air into cold air&nbsp;<br>Steam: Occurs when cold air moves over warm water&nbsp;&nbsp;
Define windshear. Places where it occurs	Wind shear is an area where two wind changes speed/direction rapidly causing a change in flight characteristics.<br>1. Low level temperature inversion<br>2. Front or thunderstorm (microburst)<br>3. Clear air as a result of strong circulation/rotor&nbsp;
Types of briefings	Standard - Request when flight planning and haven't received a briefing yet<br>Abbreviated - Request when you only need to supplement information from other sources, update current briefing, or when you need only a few items<br>Outlook - Departure is more than 6 hours out. For flight planning only&nbsp;
Featureless terrain illusion	This illusion can affect a pilot who approaches a well lit runway surrounded by a dark, featureless landscape. Pilots may think they are higher than they really are. A pilot suffering from this illusion will fly a lower approach.&nbsp;
What items should a pilot have on board for a night flight? (general items, non 91.205)	Aeronautical charts<br>Head lamp (red)<br>Spare batteries for head lamp&nbsp;
91.205	Instrument and equipment requirements for standard category, powered aircraft.&nbsp;
Position lights are required to be on from when to when? Associated FAR?	Sunset to sunrise. 91.209, Aircraft lights&nbsp;
What is required of an aircraft operated in close proximity to a night operations area? (3 items) Associated FAR?	1. Be clearly illuminated<br>2. Have lighted position lights<br>3. Be in an area marked by obstruction lights<br>91.209 Aircraft lights
Are anticollision lights required at night? Explain. Associated FAR?	Yes, however pilots may toggle the anticol lights as the PIC deems nevessary in the name of safety. i.e. to avoid blinding other pilots. 91.209
Physical dimensions class D	Typically, SFC-2500, 4nm radius&nbsp;
Physical dimensions of class G	Class G is everywhere that is not controlled. Usually starts at the surface and extends up to 1200ft AGL or 14,500 MSL depending on area.&nbsp;
Physical dimensions of class E	Everywhere that isn't occupied by other airspace.&nbsp;
Define E blue vignette&nbsp;	1200ft floor class E abutting class G
Define E magenta vignette&nbsp;	700ft floor class E
Define magenta dotted line	Floor of controlled airspace class E
NWKRAFT	Notams<br>Weather<br>Known ATC delays<br>Runway lengths<br>Alternate<br>Fuel<br>Takeoff and landing distances
No person my operate an acrobatic aircraft when the visibility is less than	3 miles. 91.303
30.11 to 29.96 change in the altimeter setting will indicate a higher or lower altitude? How many ft?	Altimeter will indicate 150ft lower
What precip has the highest accumulation rate on control surfaces 	Freezing rain
3 stages of s thunderstorm + characteristics&nbsp;	cumulus - updrafts<br>mature - rain, lightning, roll clouds<br>dissipating - downdrafts, slowing rain&nbsp;
What does the outbound destination sign identify?	Direction to takeoff runways
Hypoxia	Is a state of oxygen deficiency in the body to impair functions of the brain and other organs
PPPPP or 5P	Plan<br>Plane<br>Pilot<br>Passengers<br>Programming<br>
ANDS	Magnetic errors<br>Accelerate North Decelerate South (applies in Northern hem only)&nbsp;<br>(An acceleration will see a compass deviation towards the north. A deceleration will see compass deviation towards the north.)
<div>With respect to the certification, privileges, and limitations of airmen, what do category, class, and type mean?&nbsp;</div>	<div>(61.5)&nbsp;</div><div>- Category: Airplane, Rotorcraft, Glider, Lighter-Than-Air etc.&nbsp;</div><div>- Class: Single Engine Land/Sea, Multi Engine Land/Sea&nbsp;</div><div>- Type: specific to aircraft – only required for aircraft with a max gross weight equal or greater than 12,500lbs, turbojet, or any aircraft specified by the FAA to require one&nbsp;(61.31)&nbsp;</div>
<div>If a pilot changes his permanent mailing address, how long can the pilot continue to exercise the privileges of their pilot certificate without notifying the FAA?&nbsp;</div>	<div>(61.60)&nbsp;</div><div>30 days&nbsp;</div>
Engine failure during flight, in-flight restart procedure (archer)	Airspeed - Vg<br>Fuel Selector - Switch tanks or fullest tank<br>Fuel Pump - On <br>Mixture - Rich<br>Carb Heat - On <br>Mags - Off then On
Engine failure immediately after takeoff (Archer III)	"Airspeed…………………………..76 KIAS
<br>Mixture ………………..……IDLE CUTOFF
<br>Magnetos Switch …………..………….OFF
<br>Flaps..AS REQUIRED (Full Recommended)
<br>Emergency Battery...………….……….OFF
<br>Battery and Alternator.........................OFF
<br>Cabin Door………………..……. UNLATCH
<br>Land...………………...STRAIGHT AHEAD"
Engine fire during start (Archer III)	"Starter…………..CONTINUE CRANKING
<br>Mixture.……………..……...IDLE CUTOFF
<br>Throttle………………………………OPEN
<br>Fuel Pump……………………………..OFF <br>Fuel Selector………………………….OFF"
Engine fire in flight (Archer III)	"Fuel Selector………………………….OFF
Throttle…………………………...CLOSED
<br>Mixture ……………..……...IDLE CUTOFF
<br>Fuel Pump……………………………..OFF
Heater/Defroster……………………...OFF
<br>**IF FIRE IS NOT EXTINGUISHED,
INCREASE AIRSPEED WITHIN LIMITS
THAT WILL PROVIDE INCOMBUSTIBLE
MIXTURE**"
Electrical fire in flight procedure (Archer III)<br>What telltale sign points to an electrical fire?	"Smoke in the cabin is usually the telltale sign of an electrical fire.<br><br>Emergency Battery……….VERIFY ARM
<br>Battery Master………………………..OFF
<br>Alternator Switch…………………….OFF
<br>Vents…………………………………OPEN
Heater/Defroster……………………..OFF
Fire…………………………..EXTINGUISH
<br>Emergency Descent………..IF NEEDED
<br>Land as soon as possible"
Wing fire in flight (Archer III)	"Exterior Lights…..………………..ALL OFF
<br>Pitot Heat Switch……………………....OFF
<br>Perform Sideslip to keep flames away
from fuel tank and cabin"
Explain the instruments which are run off the vacuum system. What drives this system?	The attitude indicator and the directional gyro. The vacuum pump is engine driven.&nbsp;
The archer is a ___ volt system&nbsp;	28
The battery is ___ volts and used for starting and backing up alternator output.&nbsp;	24
Electrical power is supplied by a ___ amp alternator	70
What are the standard electrical accessories included with the Archer?	Starter, fuel pump (elec), engine primer, stall warning horn, ammeter, and the annunciator panel
With the engine running, the digital ammeter displays what?&nbsp;	The load placed on the alternator&nbsp;
With all electrical equipment off (except the battery master switch) the ammeter will display what?	The amount of charging current demanded by the battery&nbsp;
Explain the difference between a loadmeter and an ammeter.	A loadmeter instrument displays a 0 to 60 scale which indicates the load placed on the generating capacity of the electrical system by the electrical accessories and battery. An ammeter is used to show the electrical generating performance of the alternator/generator system of the aircraft.&nbsp;
The aircraft is powered off, with only the master switch turned on. What should the loadmeter display?	With all electrial components turned off, the loadmeter reflects only the amount of charging current demanded by the battery.
If an ammeter shows a positive number, what does that indicate?&nbsp;	It shows the charging rate of the battery
A full scale positive deflection of the ammeter shows what?	Probable malfunction of the voltage regulator
A full scale negative deflection of the ammeter shows what?	Probable failure of the alternator.&nbsp;
In normal operations, an ammeter should indicate what on its display?	A zero indication&nbsp;
Your ammeter shows a negative value while in flight, what does this mean?	Your battery is discharging!
What type of vacuum pump is on the airplane?	The airplane has an engine driven, dry type vacuum pump. This dry type pump eliminates the need for an air/oil seperator&nbsp;
You notice a lower than usual vacuum indication, what could this mean?	may indicate a dirty filter, dirty screens, possibly a sticking vacuum regulator or leak in system
Zero vacuum pressure could indicate what?	sheared pump drive, defective pump, collapsed line or defective gauge.&nbsp;
Normal vacuum suction should be what in inches of mercury (inHg)?	4.8 to 5.2 inHg
Higher than normal vacuum suction could do what to your vacuum instruments? How about lower than normal suction?	Higher suction could cause damage to vacuum instruments. Lower than normal suction would make vacuum instruments unreliable.&nbsp;
The turn indicator is what kind of powered instrument? (Archer III)	Electrical
What instruments rely on the pitot tube?	Airspeed indicator
What are the static instruments?	Airspeed indicator, vertical speed indicator, altimeter&nbsp;
Describe the alternate static source feature of the aircraft? What is it? Where is it located? What are the considerations for its use?	Alternate static source is a way of bypassing the exterior static source and using one which is located inside the aircraft. The cabin window and cabin vents must be closed and the cabin heater and defroster must be on! The altimeter will show a slightly higher altitude, but this error is less than 50ft unless otherwise placarded. ASI will indicate an airspeed greater than actual.&nbsp;
Where are the pitot/static ports on the aircraft? (Archer III)	They are all located on the pitot head (or pitot static mast) under the left wing. This head contains both the inlet for ram air at the front and two holes on the bottom and side for statis pressure reading.&nbsp;
Describe the comm antenna(s) on the aircraft and where they are.&nbsp;	Comm antennas are usually located on the top (comm 2) and/or bottom (comm 1) of the fuselage. They are usually long and skinny and, in the case of a bottom mounted antenna, will be bent to ensure adequate clearance from objects on the ground.&nbsp;
Describe the VOR antennas on the aircraft.&nbsp;	They are located on the vertical stabalizer in a horizontal V formation and provide VOR tracking.&nbsp;
Describe the transponder antenna.&nbsp;	Types vary widly but can be a small, several inch long antenna rod sticking out from below the aircraft or a shark fin type antenna.&nbsp;
Describe the shape and location of GPS receivers.	Almost always low profile, flush mount devices located at the top of the fuselage allowing for the best possible exposure to the sky.&nbsp;
In the case of the Archer III, what kind of alternate vacuum pump is provided and where is the switch located?	"An electrical aux vacuum pump is provided in case the engine driven pump fails or becomes unreliable. The aux vac button is located on the left side of the panel and shows ""VAC OFF"" and ""AUX ON"""
What is the purpose of having seperate alternator and battery switches?	In some cases, you may wany to exclude power being provided from an alternator with a faulty voltage regulator to prevent damage to avionics. Conversely, with a fauly battery experiencing thermal runaway, you may want to cut it off from the electrical system.
Explain the Archer II and Archer III electrical volts and amps respectively. What voltage is the battery?	Archer II is a 14 volt, 60 amp system. The Archer III is a 28 volt, 70 amp system. The battery is 24 volt.&nbsp;
How is heat generated for the cabin?	Using a heater muff attached to the exhaust.&nbsp;
When can a test of the ELT system be made and how many sweeps are permitted? How can you check to see if your ELT is activated?	Within the first 5 minutes of any hour. 3 sweeps only. Tune to 121.5 and listen for a downward sweeping tone.&nbsp;
Max capacity of the baggage area is ___ (Archer)	200 lbs
Anytime maintenance is being performed on the aircraft, an entry in the meintenance records must be made. This entry should include:	<ol><li>A description of the work</li><li>Date completed</li><li>Name of the person who performed the work</li><li>Name, certificate number, kind of certificate and signature of the person approving the work for return to service. (43.9)</li></ol>
Usable fuel capacity at the bottom of the tabs is (Archer)	17 gallons per side
The electric fuel pump should be on during (Archer):	Takeoff, landing and while switching tanks (POH)
The three landing gear struts are of what type?	Air-oil type struts
The toe brakes and hand brake have seperate what? They share what? (Archer)	Seperate brake cylinders. They share a common reservoir.&nbsp;
List the categories as it pertains to the certification of aircraft	transport, normal, utility, acrobatic, limited, restricted, and provisional
Power off landing procedure (according to POH, Archer)	<div style='text-align: left;'> <br>ABCDE<br><br>Touchdowns should normally be made at lowest possible airspeed with full flaps.<br><br>When committed to landing:<br><br>Flaps ..................................As desired<br>Throttle................................Close<br>Mixture ................................idle cut-off<br>Magnetos.............................OFF<br>Battery Master switch .........OFF<br>ALTR Switch .......................OFF<br>Fuel selector........................OFF<br>Seat belt and harness..........tight
Steep turn limitations 	Manufacturer recommended airspeed, or if one is not available, an airspeed not to exceed Va.<br>Roll into coordinated 360° turn at approximately 45° bank. <br>Maintain entry altitude +/- 100ft<br>Airspeed +/- 10kts<br>Bank +/- 5°<br>Roll out on entry heading +/- 10°
Is it legal to fly on a dealers registration after a buyer purchased an aircraft from that dealer? 	No, the new owner must register the aircraft. The dealer will then fill out the back of the dealer registration card and mail back to the FAA. 
What are the alcohol regulations for pilots cited in 91.17?	No flying within 8 hours from alcohol consumption<br>No more than .04 BAC
Traffic pattern altitude and airspeed limitation cited in the ACS.	+/- 100ft, +/- 10kts
Takeoff airspeed limitations and climb out speed	"<div>
<div><div>+10/-5 knots, manufacturer’s recommended speed or VY</div>
</div>
</div>"
Soft field takeoff key items to remember	Taxi into takeoff position without stopping<br>Apply takeoff power smoothly<br>Full aft elevator to keep as much weight on the main landing gear as possible<br>Lift off at the lowest possible airspeed and remaind in ground effect to Vx or Vy (as appropriate)<br>+10/-5 climb out airspeed<br>Configure the airplane after positive rate of climb<br>
Soft field approach and landing procedure&nbsp;	"<div>
<div>
<div>
<div>Maintain manufacturer’s published approach airspeed or in its absence not more than 1.3
VSO, +10/-5 knots with gust factor applied.&nbsp;</div><div>On touchdown, keep the nose wheel off for as long as possible&nbsp;</div>
</div>
</div></div>"
Short field takeoff and maximum performance climb per ACS	Taxi into takeoff position utilizing maximum runway length<br>Apply maximum engine power and verify indications before beginning roll<br>Rotate and lift off at recommended airspeed and accelerate to Vx, +10/-5kts<br>Maintain Vx until 50ft or clearing the obstacle&nbsp;<br>Pitch for Vy and accelerate to Vy +10/-5
Short field approach and landing procedure ACS	"<div>
<div>
<div>
<div>Maintain manufacturer’s published approach airspeed or in its absence not more than 1.3
VSO, +10/-5 knots with gust factor applied</div><div>&nbsp;Touchdown within 200ft of the specified aim point&nbsp;</div>
</div>
</div></div>"
Steep turn procedure per ACS	CLEARING TURNS<br>Maintain airspeed not to exceed Va (2200rpm is good in the Archer)<br>Roll into a coordinated 360deg at approxamately 45deg bank<br>Perform the task in the opposite direction<br>Maintain the entry altitude +/-100ft, +/-10kts, +/-5deg bank, roll out onto the entry heading +/-10deg&nbsp;<br>
What is the purpose of ground reference maneuvers?	to train pilots to accurately place the airplane in relationship to specific references and maintain a desired ground track
Ground reference maneuvers key items per ACS	CLEARING TURNS<br>All 3 ground reference maneuvers (Rec course, S-Turns, Turns around a point) should be executed between 600-1000ft AGL<br>Wind drift correction is a key aspect of the maneuver&nbsp;<br>Maintain altitude +/- 100ft, +/-10kts
Daytime VFR required equipment 	"<div style=""text-align: left;""> <br>91.205<br>Compass<br>Airspeed indicator <br>Altimeter <br><br>Tachometer<br>Oil pressure<br>Oil temperature <br>Manifold pressure <br>temperature <br><br>Fuel level gauge <br>Anti Collision light <br>Gear position indicator <br>ELT <br>Seatbelts <br></div>"
A pilot must furnish their certificate, medical and photo ID if prompted by:	" <div style=""text-align: left;""> <br>61.3<br>1. The administrator (FAA)<br>2. Any federal, state or local law enforcement officer <br>3. An authorized rep of the NTSB<br>4. An authorized rep of the TSA<br></div>"
What documents must you have on your person to act as PIC? (61.3)	Pilot certificate<br>Medical certificate<br>Gov issued photo ID
What privileges and limitations apply to private pilot? (61.113)	Privileges – Act as PIC and carry passengers<br>Limitations – Cannot fly for hire; must pay no less than pro rata share
Do you need to take your logbook with you? (61.51(i))	Only as a student pilot on a solo cross country (need required endorsements)
What type of pilot certificate do you have? Does it expire? (61.19(c))	Student pilot certificates issued after April 1st 2016, do not have an expiration date. If you have a <br>paper student pilot certificate, see 61.19 or 61.23.
How do we keep our pilot certificate current? (61.56, 61.57)	Flight review every 24 months
When does nighttime begin? When can you perform required night landings? (Part 1 and 61.57)	Night = the time between the end of evening civil twilight and the beginning of morning civil <br>twilight<br>Night landings for the purpose of showing recent experience for carrying passengers at night can be logged 1 hour after sunset to 1 hour before sunrise
How long is a medical certificate valid? (61.23)	Under 40 – 60 calendar months<br>Over 40 – 24 calendar months
What documents should be in the aircraft before flight? ARROW (91.203)	Airworthiness Certificate<br>Registration<br>Radio License (required for international flight)<br>Operating Limits<br>Weight and Balance/ required equipment lists
When will an aircraft registration certificate expire? (PHAK 8-6)	3 years
With respect to the certification, privileges, and limitations of airmen, what do <br>category, class, and type mean? (61.5)	Category : Airplane, Rotorcraft, Glider, Lighter-Than-Air etc.<br>Class: Single Engine Land/Sea, Multi Engine Land/Sea<br>Type: specific to aircraft
If a pilot changes his permanent mailing address, how long can the pilot continue <br>to exercise the privileges of their pilot certificate without notifying the FAA? (61.60)	30 days
Does an Airworthiness Certificate ever expire?	Not as long manufacturer's original design is adhered to
Who is responsible for ensuring an aircraft is maintained in an airworthy <br>condition? (91.403)	The owner/operator
What are the required inspections? (91.409)	AVIATES<br>Annual – every 12 calendar months<br>VOR – 30 days for IFR<br>100 hour if airplane is for hire<br>Altimeter/Pitot Static – 24 calendar months<br>Transponder – 24 calendar months<br>ELT – 12 calendar month. Battery must be replaced or recharged after 1 hour cumulative use or <br>half of battery life<br>Service bulletins and ADs complied with
What is an Airworthiness Directive? Is it mandatory? (PHAK 8-12)	FAA issued order to fix a known issue. It is mandatory. The AD will contain more information regarding whether it expires, is a one time compliance or is recurring. 
Can you over fly an annual? 100 hour? (91.409)	Annuals cannot be overflown. You can overfly a 100 hour by up to 10 hours if the aircraft is <br>enroute to a place to have the inspection completed.
Is there any way to fly an aircraft that is not legally airworthy?	Obtain special flight permit from the FSDO
Do you need to have an ELT in the airplane today? (91.207)	Not needed for training within 50 nm of home airport
Can you fly an airplane with known inoperative equipment? (91.213)	If it were not required for the flight (per the aircraft’s equipment list or the FARs), you must<br>deactivate or remove the component and placard it inoperative (deactivating could be as simple as pulling the circuit breaker out and locking it out with a zip tie)
What is a Minimum Equipment List? (PHAK 8-9)	An FAA approved list of equipment that can be inoperative
Anti-authority antidote	Follow the rules
A buildup of ice, frost or snow on the wings causes what kind of drag about the wing surface?	Skin friction drag
"To act as PIC of an aircraft carrying passengers, the pilot must have made at least three takeoffs and landings in the same category, class and, if applicable, type within the preceeding <span class=""cloze"" data-cloze=""90"" data-ordinal=""1"">[...]</span> days"	"To act as PIC of an aircraft carrying passengers, the pilot must have made at least three takeoffs and landings in the same category, class and, if applicable, type within the preceeding <span class=""cloze"" data-ordinal=""1"">90</span> days<br>
"
"Recent flight experience is covered in part 61.<span class=""cloze"" data-cloze=""57"" data-ordinal=""1"">[...]</span>"	"Recent flight experience is covered in part 61.<span class=""cloze"" data-ordinal=""1"">57</span><br>
"
"If recency experience requirements for night are not met and official sunset is 7:43pm, the latest time passengers may be carried is <span class=""cloze"" data-cloze=""8&#x3A;42pm"" data-ordinal=""1"">[...]</span>"	"If recency experience requirements for night are not met and official sunset is 7:43pm, the latest time passengers may be carried is <span class=""cloze"" data-ordinal=""1"">8:42pm</span><br>
"
